,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
First,Middle,Last,Street,City,State,Zip,SSN,,
ALBERT,,BRZEZINSKI,222 26TH S,BESSEMER,AL,35020,666042907,,
JUDY,L,DEVEAUX,3350 ALTAMONT S,BIRMINGHAM,AL,35205,666044919,,
SANDRAA,,BATTLE,516 PORTER,TALLADEGA,AL,35160,666053957,,
LINDA,B,HAIRR,266 RR1,DUNCANVILLE,AL,35456,666060509,,
R,B,HIGGINBOTHAM,2484 LOD COAL,PELL CITY,AL,35125,666063953,,
MANUEL,R,ARENIVAV,3878 W APRIL,MONTGOMERY,AL,36105,666081999,,
CONSTANCE,P,KLEIER,1578 COUNTY,ALEXANDER CITY,AL,35010,666082581,,
LISA,A,DOWNING,7195 UNDERWOOD MNT,TUSCUMBIA,AL,35674,666087796,,
COURTNEY,K,FOLEY,656 IDLEWILD,BIRMINGHAM,AL,35205,666090791,,
SHARON,L,MORGAN,PO BOX 214R,KILLEN,AL,35645,666092749,,
JOHN,M,BERTRAM        JR,1930 POTTER,BESSEMER,AL,35020,666102300,,
TAMI,,BOYLES,645 S MAIN,ARAB,AL,35016,666116690,,
DIANNA,T,DUGAS,2241 GREEN SPRINGS S,BIRMINGHAM,AL,35205,666118304,,
W,J,JOBSON,PO BOX 41,JASPER,AL,35502,666149483,,
PHILLIP,E,BLACKWELL,800 RICE VALLEY N,TUSCALOOSA,AL,35406,666161706,,
TRACY,A,DEN DULK,598A RR2,HALEYVILLE,AL,35565,666165632,,
GLENDA,A,BURRELL,PO BOX 682,CAMDEN,AL,36726,666171690,,
MICHAEL,D,BARSKY,2108 COLONY,BIRMINGHAM,AL,35243,666183629,,
AAS,W,MUNDY,1712 BIG MOUNTAIN,BIRMINGHAM,AL,35235,666215658,,
BRENDA,,LYKINS,1224 COUNTY ROAD 395,DUTTON,AL,35744,666242535,,
CARLA,C,BROOKS,3408 KENSINGTON,TUSCALOOSA,AL,35405,666244075,,
BETTY,K,HOUSE,708 4TH W,BIRMINGHAM,AL,35204,666251119,,
DONNA,,FISHER,4161 CHURCHILL,BIRMINGHAM,AL,35213,666262318,,
JUDY,A,COAD,PO BOX 107,CARROLLTON,AL,35447,666293564,,
NEIL,T,GORDON,116 DEWAYNE,GADSDEN,AL,35904,666306639,,
M,W,HETLAND,185 BLACK ACRES,CROPWELL,AL,35054,666328654,,
STEVE,,KECK,26 DAYBREAK,COTTONDALE,AL,35453,666331723,,
RAMON,S,DEMARK,2250 HIGHLAND S,BIRMINGHAM,AL,35205,666334806,,
BARBARA,C,JUMP,2433 MAIN,NORTHPORT,AL,35476,666338801,,
GARRELL,,ADLER,7976 PAPER,TRUSSIVILLE,AL,35173,666348062,,
PATSY,S,GUINN,1503 HIGHWAY 78 W,JASPER,AL,35501,666384717,,
FERAS,,AL AWWAD,154 RR2,FALKVILLE,AL,35622,666394958,,
JOYCE,A,BECRAFT,628 COUNTY ROAD 503,HANCEVILLE,AL,35077,666418776,,
FRANK,,BASSORA,2715 THE,MONTGOMERY,AL,36116,666420827,,
SHARRA,L,KERR,165 COUPLAND,ODENVILLE,AL,35120,666420832,,
GLADYS,,BROWN,10420 US HIGHWAY 31 LOT 71,TANNER,AL,35671,666427857,,
MARY,A,BLANK,1107 HERITAGE,TUSCALOOSA,AL,35406,666429481,,
BARBARA,J,DAVIS,1950 SPRINGLAKE,BIRMINGHAM,AL,35215,666448428,,
N,,KEIM,1750 HIGHWAY 231 LOT 34,LACEYS SPRING,AL,35754,666448436,,
CECILIA,A,BLANCHER,2005 RUSSET WOODS,BIRMINGHAM,AL,35244,666479673,,
RICHARD,D,BROPHY,23997 COUNTY ROAD 222,BREMEN,AL,35033,666489232,,
GEFFREY,W,BORDERS,428 FINLEY,MONTGOMERY,AL,36104,666530019,,
KELLI,,BRICKING,1150 JENKINS,HAYDEN,AL,35079,666550632,,
TIMOTHY,N,BUNCH,719 ELIZABETH,PRATTVILLE,AL,36067,666555029,,
MARY,,BIGGERSTAFF,4310 PEACH,TUSCALOOSA,AL,35405,666577417,,
RENAE,J,GRIMES,759 FOREST HOME,DECATUER,AL,35601,666588522,,
WALTER,F,KNAPP,80 GRIFFIN,CHELSEA,AL,35043,666590290,,
ROY,L,BRITTAIN       JR,8000 HIGHWAY 20 W,MADISON,AL,35758,666620992,,
JULIANNE,W,KULMAN,25 RIVER COVE,ALEXANDER CITY,AL,35010,666629002,,
CAROLYN,,FIELDS,8333 4TH S,BIRMINGHAM,AL,35206,666647830,,
WILLIAM,R,MONTCALM,2129 N NORTHPARK,BIRMINGHAM,AL,35207,666661702,,
JAMES,,LOSHAW,675 HARTFORD,TUSCALOOSA,AL,35406,666665033,,
HELEN,F,BILD,PO BOX 103,THORSBY,AL,35171,666666356,,
CHRISTIE,,LEWIS,2209 GRAHAM SW,DECATUR,AL,35601,666670978,,
FAITH,A,BLACK,512 WONDER,BIRMINGHAM,AL,35210,666677265,,
CATHERINE,L,AMSPACHER,15466 SYLVAN LOOP,FOSTERS,AL,35463,666686617,,
ROOSEVELT,,BOWLES         III,30 COUNTY ROAD 933,JEMISON,AL,35085,666687030,,
JENNIFER,L,BONNSTETTER,425 FOREST HILLS,MONTEVALLO,AL,35115,666703397,,
GARY,,COX,1183 RR12,CULLMAN,AL,35057,666721879,,
THOMAS,R,BRYANT,200 CHEYENNE,ENTERPRISE,AL,36330,666749348,,
ANITA,L,BARRY,2251 HELTON,FLORENCE,AL,35630,666749838,,
JOHN,W,EDWARDS        JR,57 RR2,VINEMONT,AL,35179,666768869,,
DENISE,D,BABBITT,1447 CHEVELLE,BIRMINGHAM,AL,35214,666815797,,
ANGELA,S,BEATIE,1216 WELLINGTON,BIRMINGHAM,AL,35243,666830199,,
MARY,H,BELLO,7241 PARIS,BIRMINGHAM,AL,35206,666840131,,
THOMAS,R,LITRENTA,1204 FLATWOODS,NORTHPORT,AL,35476,666845950,,
AUSTIN,,MATHEY,PO BOX 55727,BIRMINGHAM,AL,35255,666855179,,
HARVEY,L,CLARK,1612 BETHEL SE,DECATUR,AL,35603,666877426,,
WILLIAM,D,BROWNSON,6426 COURT F,FAIRFIELD,AL,35064,666897387,,
TRAVIS,,BROESCHE,63 RR3,LEIGHTON,AL,35646,666903997,,
TRAVIS,,BROESCHE,863 RR3,LEIGHTON,AL,35646,666903997,,
DENNIS,F,BERGHOLZ       SR,9040 BELVOIR,BIRMINGHAM,AL,35206,666907177,,
AMY,,KANGAS,1969 GLENWOOD,MORRIS,AL,35116,666922691,,
JULIANNE,,KULMAN,PO BOX 30,DORA,AL,35062,666923726,,
COLLEEN,,BAUER,2715 HANOVER S,BIRMINGHAM,AL,35205,666927881,,
MICHELLE,C,BRANSTROM,620 RR3,CORDOVA,AL,35550,666930926,,
L,B,CARLTON,4240 ANTIETAM,BIRMINGHAM,AL,35213,666945365,,
GLENN,D,FRICKE,368 RR10,FLORENCE,AL,35633,666945767,,
DIANE,L,BRUSO,5968 GEORGIA,BIRMINGHAM,AL,35212,666946911,,
JOHN,A,BELL,92 STONEY RIDGE,TALLADEGA,AL,35160,666959124,,
BRENT,M,MAYES,7732 SUNRISE,BIRMINGHAM,AL,35210,666962921,,
TERI,L,BERNARD,3460 HIGHWAY 119,MONTEVALLO,AL,35115,666967122,,
LINDA,,GIORDANO,6 MONTEVALLO,BIRMINGHAM,AL,35213,666987294,,
S,R,DESTEFANO,307 SUSAN,RAINBOW CITY,AL,35906,666998837,,
KAT,,BUSH,711 4TH S,JASPER,AL,35501,666020911,,
MICHAEL,D,BAIDERAS,295 RR2,MUSCLE SHOALS,AL,35661,666022506,,
DEBORAH,,JACKSON,4208 BOXWOOD NW,HUNTSVILLE,AL,35816,666024948,,
JOHN,R,BURLEIGH,1832 BOND NE,BIRMINGHAM,AL,35215,666027819,,
JOEL,R,BELISLE,1118 12TH,NORTHPORT,AL,35476,666068932,,
IMELDA,,GARCIA,548F S HARDAWAY,OPELIKA,AL,36801,666085977,,
VIOLET,,KELLEY,610 RIDGE,BIRMINGHAM,AL,35206,666118273,,
KATHY,,KLINK,1812 4TH S,BIRMINGHAM,AL,35233,666118335,,
JUDITH,,DE VEAUX,2700 HIGHWAY 51,WILSONVILLE,AL,35186,666126775,,
ROGERS,,BRISTER,5704 GARDEN,GARDENDALE,AL,35071,666135218,,
REBECCA,,LANE,PO BOX 152,TUSCALOOSA,AL,35402,666139884,,
JENNIFER,,KELLY,1534 SHELTER,PELL CITY,AL,35125,666151261,,
BOBBIE,J,GUGLIELMO,349 MERCURY,MADISON,AL,35758,666151792,,
MARIA,A,ARENA,145 ANGELA,MADISON,AL,35758,666152218,,
BEVERLY,C,BROWN,RR1,EVA,AL,35621,666159762,,
JEAN,B,BELL,950 CORD 1569,CULLMAN,AL,35055,666167188,,
BRIAN,M,KELLY,1008 LAFAYETTE,BIRMINGHAM,AL,35214,666188664,,
BROOKE,,BARTUFF,5026 TIMBERLINE,BIRMINGHAM,AL,35210,666196800,,
PHYLLIS,C,MESLAR,3900 RR1,PELL CITY,AL,35125,666198149,,
THOMAS,E,FAGAN,2700 7TH S,BIRMINGHAM,AL,35233,666205890,,
ROMAN,,BYCZEK,1412 11TH S,BIRMINGHAM,AL,35205,666219185,,
CAROLYN,S,GAWKEL,1029 CAPRI,HUEYTOWN,AL,35023,666221472,,
ELMER,,IBBOTSON,1110 19TH S,BIRMINGHAM,AL,35205,666226796,,
ALIVIA,M,MERRIAM,171 HAMBRIC,CORDOVA,AL,35550,666233909,,
BRIAN,W,MEISTER,40 BIBB,SELMA,AL,36701,666251943,,
JANET,D,BUDDE,PO BOX 259,LEIGHTON,AL,35646,666261905,,
AMY,L,CUMMINS,1300 PETTY,DOTHAN,AL,36301,666266946,,
MARLENE,C,DEFALICO,2620 NIAZUMA S,BIRMINGHAM,AL,35205,666272932,,
DEBORAH,L,DUQUETTE,3350 ALTAMONT S,BIRMINGHAM,AL,35205,666273600,,
EARL,V,BRAY,1245 SOUTHWIND,HELENA,AL,35080,666279955,,
HOLMES,,FLOR,1767 MORNING NE,CULLMAN,AL,35055,666299712,,
DIANA,K,CLARK,48714 US HIGHWA,LINCOLN,AL,35096,666309251,,
MATTHEW,J,BRENNAN,PO BOX 21,ODENVILLE,AL,35120,666311574,,
MARY,A,BANKOLE,440 ALLCORN COVE,REMLAP,AL,35133,666315774,,
EMILY,A,LEONARD,301 HELEN KELLER,TUSCALOOSA,AL,35404,666322558,,
C,D,BLACK,363A RR1,WINFIELD,AL,35594,666350905,,
DAWN,M,BARNA,PO BOX 403,PELL CITY,AL,35125,666355493,,
HUGHES,,JULIE,644 EARLINE,BIRMINGHAM,AL,35215,666360546,,
TEDDY,,HICKERSON,22575 HIGH WAY 2,COLUMBIANA,AL,35051,666363467,,
CATHY,,HERRINGTON,2401 33RD N,BIRMINGHAM,AL,35207,666378562,,
RHONDA,M,BECTON,GV36 RR1,LIVINGSTON,AL,35470,666382441,,
JEWELL,A,KIVI,607 MAIN,NORTHPORT,AL,35476,666385304,,
JERRY,,KELLEY,1213 ELIZABETH SE,DECATUR,AL,35601,666400213,,
SUSAN,B,BARBUS,PO BOX 129,PETERMAN,AL,36471,666413234,,
VIOLET,,BRADLEY,33 RR2,HARTSELLE,AL,35640,666465580,,
ELLEN,,MACHLIED,3013 MAYFIELD,EMPIRE,AL,35063,666476298,,
HELEN,M,BAIRD,148 SMITH,MONTGOMERY,AL,36113,666484123,,
DAVID,W,CONTOIS,2824 RHODES S,BIRMINGHAM,AL,35205,666506159,,
OPHEE,,CURRY,62 PONDEROSA,EUFAULA,AL,36027,666508440,,
ROBERT,W,FISK,347 OXFORD ACRES,BIRMINGHAM,AL,35215,666508680,,
JEANNINE,,DIETZ,1645 LAUREL SW,CULLMAN,AL,35055,666512927,,
R,C,HALL           JR,715 S MULBERRY,TUSCUMBIA,AL,35674,666524908,,
CAROL,,GRAHAM,1121 DEVINE,BIRMINGHAM,AL,35214,666529182,,
THOMAS,,KRAEMER,3 ELEANOR,NORTHPORT,AL,35476,666540526,,
WILLIAM,T,LEWIS,368 RR1,LEXINGTON,AL,35648,666547375,,
TABATHA,T,BRADFORD,1505 SPARKMAN NW,HUNTSVILLE,AL,35816,666579567,,
ADOLPH,D,MARTINEZ       JR,1211 TERREHAUTE SW,DECATUR,AL,35601,666580829,,
MARION,,CASTRONOVA,404 CAMELOT,ATHENS,AL,35611,666592097,,
CHRISTINE,,MCQUITTY,414 SECTION LINE,GURLEY,AL,35748,666603481,,
ALFRED,E,HAGENSEN       JR,104 RUSTIC TRAIL,BIRMINGHAM,AL,35216,666608647,,
LINDA,M,BRYANT,2312 GRANTLAND,BIRMINGHAM,AL,35226,666632080,,
JULIE,L,FRONCZAK,2112 1ST N,BIRMINGHAM,AL,35203,666646239,,
THERESA,A,HERSCH,41A RR1,CARROLLTON,AL,35447,666665891,,
NODIER,A,ARAUZ,728 MALLORY,ALEXANDER CITY,AL,35010,666667263,,
TAMARA,P,BURNETT,PO BOX 85,DELMAR,AL,35551,666681105,,
STEVE,W,LOWE,2500 E AVALON,MUSCLE SHOALS,AL,35661,666686757,,
DEBORAH,J,MERSCH,23 LASHLEY,ALEXANDER CITY,AL,35010,666729214,,
VIRGINIA,R,BANDOLA,S HWY 17,ALICEVILLE,AL,35442,666746996,,
JOHN,,BOWLES,32 RR1,CATHERINE,AL,36728,666761833,,
SUSAN,L,GORENCHAN,1520 CHENAULT,BIRMINGHAM,AL,35214,666767726,,
JOHN,L,BIGLEY         JR,29 RR6,JASPER,AL,35501,666775507,,
RENA,S,HALL,361 LEE,HOLLY POND,AL,35083,666801232,,
RUDOLPH,J,DUJNIC,6304 CREST GREEN,BIRMINGHAM,AL,35212,666803612,,
RODERICK,N,CAINE,PO BOX 38135,BIRMINGHAM,AL,35238,666806409,,
MARLA,,JOHNSON,431 EXETER,BIRMINGHAM,AL,35206,666817883,,
MARK,J,HAEGELE        JR,3441 LOCH RIDGE,BIRMINGHAM,AL,35216,666826384,,
SHAWNA,R,MARTIN,1128 15TH SW,BIRMINGHAM,AL,35211,666841134,,
STEVE,,ELAM,14215 KITCHEN,TUSCALOOSA,AL,35405,666844644,,
RUTH,W,BURNS,2057 DELENE,BIRMINGHAM,AL,35214,666866967,,
TERRY,,HOFFMAN,204 COLBY,BIRMINGHAM,AL,35213,666904225,,
KAY,,BUSH,11605 HIGH WAY 8,DUNCANVILL,AL,35456,666914283,,
PRISCILLA,R,BEALSEY,418 13TH,PLEASANT GROVE,AL,35127,666983674,,
PEGGY,,BENSON,1213 PARK,BIRMINGHAM,AL,35217,666986103,,
MARIE,W,ELLIOTT,10420 US HIGHWAY 31 LOT 34L,TANNER,AL,35671,666021164,,
MARK,,FAULKNOR,1425 OPELIKA,AUBURN,AL,36830,666046300,,
ARTHUR,,BLOCK,874 COUNTY ROAD 137,TOWN CREEK,AL,35672,666111350,,
THOMAS,R,JENNINGS,PO BOX 310,FALKVILLE,AL,35622,666117109,,
MICHELLE,,JENSON,540 RR3,HALEYVILLE,AL,35565,666120358,,
RALPH,,GULKO,5205 LAZY,MOUNT OLIVE,AL,35117,666126409,,
DEBRA,J,CLARK,408 SHEILA,PRATTVILLE,AL,36066,666159004,,
RAMON,S,DEMARK,1105 26TH S,BIRMINGHAM,AL,35205,666169066,,
BARBARA,,BEVINS,2223I AVENUE E,BIRMINGHAM,AL,35218,666181859,,
JEFFERY,R,BAILEY,705 RIVERCHASE W,BIRMINGHAM,AL,35244,666193145,,
KAREN,M,KIEBOBACH,2617 BRIDLEWOOD,HELENA,AL,35080,666196143,,
GEORGE,G,JOHNSON,PO BOX 1318,ALABASTER,AL,35007,666197253,,
WILLIE,,LUMPKIN,1466 TOMAHAWK,BIRMINGHAM,AL,35214,666219892,,
HEE,J,BYUN,2160 PARTRIDGE BERRY,BIRMINGHAM,AL,35244,666230027,,
BONNIE,,KLETTE,613 CANDLE,BIRMINGHAM,AL,35214,666230215,,
ROSEMARY,,DEMATTEO,14979 CARMEN,NORTHPORT,AL,35475,666235401,,
TERESITA,C,BELLO,10420 US HIGHWAY 31 LOT 3,TANNER,AL,35671,666242216,,
JEANNETTE,E,MENSHOUSE,315 218 BELLE,PELHAM,AL,35124,666242375,,
ROBIN,,KOLLAR,PO BOX 112,RIVERSIDE,AL,35135,666245332,,
CHRISTIE,,LEWIS,1010 SKYVIEW SW,DECATUR,AL,35601,666262653,,
CECIL,E,BANKS,PO BOX 186,RED BAY,AL,35582,666266977,,
ANN,M,HILLHOUSE,633 RR6,RUSSELLVILLE,AL,35653,666268271,,
SHARON,S,MORGAN,PO BOX 267,WINFIELD,AL,35594,666270502,,
JULIA,E,MORIARTY,3635 COLBURN MOUNTAIN,TUSCUMBIA,AL,35674,666285560,,
GARRELL,R,BREWER,370 GREER,LINCOLN,AL,35096,666287683,,
DARYL,A,LIGON,432 RR2,TUSCUMBIA,AL,35674,666289841,,
STEVE,C,BAINBRIDGE,1017 SPRINGS,BIRMINGHAM,AL,35242,666299152,,
NANCY,E,BASIL,1829 SKI LODGE 3,BIRMINGHAM,AL,35209,666303618,,
THOMAS,,KWARCIANY,25125 POMPANO,ELBERTA,AL,36530,666345973,,
PATRICIA,C,BRISENDINA,1251 RAINTREE NE,ARAB,AL,35016,666355262,,
LOIS,S,KLAINE,1125 10TH S,BIRMINGHAM,AL,35205,666358937,,
RANDY,,KEEFER,2300 21ST S,BIRMINGHAM,AL,35223,666364596,,
IRENE,M,HARRIS,4354A OLD SHELL,MOBILE,AL,36608,666381083,,
MADONNA,M,CORBELLO,PO BOX 19882,BIRMINGHAM,AL,35219,666399739,,
WILLIAM,J,BEITING,1401 CARSON,BIRMINGHAM,AL,35215,666425891,,
GERALINE,C,JONES,741 HEATHERWOOD,HOOVER,AL,35244,666440960,,
TAMMY,,ABBEY,306 HAWTHORNE,TALLADEGA,AL,35160,666447841,,
VONNIA,A,CRAIG,PO BOX 320,MULGA,AL,35118,666450031,,
JAIME,,BOLANOS,8600 JIM JONES,COTTONDALE,AL,35453,666457946,,
DENNIS,,DENERS,41 RR7,TALLADEGA,AL,35160,666462878,,
RONALD,V,BABCOCK,95 INDIAN COUNTY,HUNTSVILLE,AL,35806,666467968,,
STEPHANIE,S,DUNCAN,4426 13 TORRANCE,HUNTSVILLE,AL,35816,666468960,,
JESS,R,HARNEY,1380 GLENWOOD NW,BIRMINGHAM,AL,35215,666484599,,
PATRICIA,A,BRUNNER,10955 HIGHWAY 243,PHIL CAMPBELL,AL,35581,666486665,,
JIMMY,,CREEL,PO BOX 100,FLORENCE,AL,35631,666494441,,
STEPHEN,M,LONG,2308 MCBURNEY,FLORENCE,AL,35630,666500392,,
DEBORAH,M,BUHRO,4 BISCAYNE HILLS SUB,NORTHPORT,AL,35476,666502293,,
AMY,L,HOCK,1103 MAIN W,HARTSELLE,AL,35640,666503046,,
PAULINA,L,BRITO,1204 W WALNUT,SYLACAUGA,AL,35150,666504166,,
DAVID,,BUTTS          SR,1813 FULTON,FULTONDALE,AL,35068,666504780,,
LUBOV,R,KNOX,HWY 219 SOUTH 8,CENTREVILLE,AL,35042,666505084,,
JOSEPH,V,DE JULIANNIE   SR,397A RR1,GUNTERSVILLE,AL,35976,666506349,,
JOSEPH,,DEJULIANNIE,212 HONEYCUTT,ADAMSVILLE,AL,35005,666508239,,
CHARLES,R,MELLI          JR,736 VAUGHN,BIRMINGHAM,AL,35235,666527297,,
JOHN,D,MILNER,127 CAHABA FOREST,TRUSSVILLE,AL,35173,666527659,,
MARY,G,LINNEMANN,2104 26TH N,HUEYTOWN,AL,35023,666544391,,
LEONA,,BATTLES,515 SIMPSON,FLORENCE,AL,35630,666562252,,
DANNY,,DINKINS        SR,PO BOX 60,JASPER,AL,35502,666569435,,
OPAL,M,BROWN,PO BOX 401,MONTGOMERY,AL,36101,666585026,,
CHERYL,E,BARRY,1448 MILNER S,BIRMINGHAM,AL,35205,666588857,,
LAURETTE,,BYARS,124 CAHABA FOREST,TRUSSVILLE,AL,35173,666589581,,
CHARLES,M,FINEBERG,104 E WASHINGTON,ATHENS,AL,35611,666592759,,
TAMMY,A,BEADOIN,407B RR1,ROGERSVILLE,AL,35652,666606475,,
CRAIG,,BRANDENBURG,145 24TH S,BIRMINGHAM,AL,35205,666674575,,
THEODORE,J,BRATTHAUAR,2008 WINNSBORO,BIRMINGHAM,AL,35213,666683169,,
RUTH,,JOHNSON,1804 CATALA,BIRMINGHAM,AL,35216,666684196,,
DEBBIE,,ANDERSON,8135 TYLER,BIRMINGHAM,AL,35226,666689109,,
CHESTER,,BOGUS,1155 OLD MONROVIA NW,HUNTSVILLE,AL,35806,666693782,,
JUANITA,,HARP,PO BOX 805,ALABASTER,AL,35007,666703414,,
VICKIE,,KARASCHIN,3008 PANORAMA,BIRMINGHAM,AL,35216,666703631,,
RANDALL,M,DOLLAR,3815 6TH S,BIRMINGHAM,AL,35222,666720905,,
MILA,,KAYSER,3526 GRAND ROCK,BIRMINGHAM,AL,35223,666720973,,
NILDA,T,ESCALER,602 CARTER,BLOUNTSVILLE,AL,35031,666755494,,
LINDA,A,BIBLE,7085 CAVERN,TRUSSVILLE,AL,35173,666760024,,
LINDA,,BRIGNAC,10 WINTHROP,BIRMINGHAM,AL,35213,666762229,,
RICK,,BROWN,188 PINESCREST,LEEDS,AL,35094,666778623,,
WANDA,J,CARR,PO BOX 763,TRUSSVILLE,AL,35173,666780522,,
JAMES,W,GOURHAN,1615 WARNKE NW,CULLMAN,AL,35055,666783172,,
JUDY,,LANKFORD,656 CROSS CREEK,ALPINE,AL,35014,666796195,,
GUSTAVO,D,MORAMARCO,292 RR4,MOULTON,AL,35650,666801013,,
BRIAN,J,BEECHUM,PO BOX 1783,CLANTON,AL,35046,666808982,,
STEVE,D,FORSLUND,289 BLANTON,PARRISH,AL,35580,666819872,,
IMAD,,HAMDAN,22125 MISSY LEE,ATHENS,AL,35651,666840503,,
CHA,J,CUNNINGHAM,24230 PERDIDO BEACH,ORANGE BEACH,AL,36561,666840786,,
PRISCILLA,M,BAYER,4607 7TH S,BIRMINGHAM,AL,35222,666849421,,
VICKIE,L,JACKSON,505 PRATT,BIRMINGHAM,AL,35214,666849609,,
SCOTT,,HALL,603 CAVE SPRING,DECATUR,AL,35603,666863670,,
JACKIE,E,BARFIELD,1428 33RD S,BIRMINGHAM,AL,35205,666866345,,
DANNY,,MAYNARD,3216 DEERFIELD NW,HUNTSVILLE,AL,35810,666901327,,
JOHN,V,BIALOGLOW,4625 COUNTY HIGHWAY 47,BRILLIANT,AL,35548,666907896,,
JUDITH,,GLASHOW,9437 7TH N,BIRMINGHAM,AL,35217,666922352,,
JAMES,D,BRIMM,166 BROCK,TALLADEGA,AL,35160,666945768,,
PAMELA,E,KITTLE,475 RR1,GARDENDALE,AL,35071,666996167,,
BENNETTA,R,CASTLE,4515 BONNELL NW,HUNTSVILLE,AL,35816,666014571,,
LAUREL,,BAUER,111 BILL GROSS CAMP,HUEYTOWN,AL,35023,666020571,,
TRACY,,CHIVETTA,104 THOMAS,BIRMINGHAM,AL,35214,666068340,,
R,M,BROZ,1050 STONES THROW NW,HUNTSVILLE,AL,35806,666081452,,
ELFRIEDA,,BLISS,PO BOX 179,GRANT,AL,35747,666108488,,
STEVE,,HEAD,PO BOX 1485,TUSCALOOSA,AL,35403,666114850,,
CONTINA,,BRZEZINSKI,3617 BROOKWOOD,BIRMINGHAM,AL,35223,666117369,,
JACKIE,,BELLUOMINI,6300 COUNTY ROAD FARM,FLORENCE,AL,35633,666135385,,
ROBERT,W,FISK,636 26TH NW,BIRMINGHAM,AL,35215,666137982,,
LYNN,H,HAWKINS,7423 PARIS,BIRMINGHAM,AL,35206,666186928,,
MORGAN,L,CAMPBELL,631 BELL,BIRMINGHAM,AL,35217,666190200,,
JEFFREY,R,BAILEY,11840 MCPHEARSN,TUSCALOOSA,AL,35401,666194327,,
KIMBERLY,A,BAIRD,3709 LODGE,BIRMINGHAM,AL,35216,666206070,,
CHARLES,,MALLORY,661 HIGHWAY 9,WILSONVILLE,AL,35186,666212508,,
MALCOLM,,IRVIN,3400 HIGHWAY 78 E,JASPER,AL,35501,666224712,,
PATSY,S,BLAIR,PO BOX 571,LIVINGSTON,AL,35470,666227283,,
